day,hour,minute,second,frames,v1,v2,v3,std,minY,pixels
08,18,58,36.998,27,2.15,1.99,1.93,1.54,092,2856
08,18,58,37.995,56,1.38,1.22,1.12,1.00,084,2560
08,18,58,47.995,85,-1.47,-1.82,-2.10,1.23,087,2954
08,19,00,26.928,21,5.78,6.11,6.49,5.59,070,4303
08,19,01,00.130,16,3.60,6.41,7.94,4.73,075,6461
08,19,03,46.000,14,3.91,5.49,6.46,7.86,068,5998
08,19,03,46.531,13,5.71,6.80,6.65,5.58,065,6261
08,19,05,16.932,10,6.50,5.48,4.85,4.33,076,5655
08,19,06,00.734,21,4.78,5.32,6.18,3.58,070,4249
08,19,07,47.798,16,-5.44,-5.50,-5.24,4.85,065,3631
08,19,08,30.464,10,-2.20,-1.68,-1.10,5.11,068,4373
08,19,08,30.604,16,-6.19,-5.28,-4.23,3.19,066,4294
08,19,12,22.203,12,-5.50,-5.53,-5.50,1.42,063,2031
08,19,15,14.279,10,-5.50,-4.08,-1.73,6.93,069,5405
08,19,15,14.365,8,-3.56,-3.31,-3.19,6.96,065,4711
08,19,15,14.890,10,-6.10,-5.32,-4.60,2.15,057,2916
08,19,19,45.212,25,2.50,2.47,2.42,7.13,084,7313
08,19,20,28.071,9,-4.11,-2.68,-1.56,7.56,065,3585
08,19,20,28.337,8,-0.38,-4.12,-6.00,5.41,066,4551
08,19,20,28.695,8,-2.62,-5.62,-7.12,4.12,064,3959
08,19,22,35.337,18,5.75,5.73,5.36,5.51,064,3481
08,19,22,35.627,7,2.79,3.88,5.29,3.44,067,3394
08,19,27,01.739,27,3.65,4.00,4.16,2.97,067,3841
08,19,27,02.099,8,1.50,3.75,4.88,4.76,071,3714
08,19,27,06.940,10,3.20,1.60,0.50,3.33,099,2884
08,19,27,12.537,8,0.38,1.31,1.78,5.37,099,1631
08,19,33,44.340,8,-2.06,-2.25,-2.34,5.12,064,4081
08,19,33,44.806,21,-2.98,-3.01,-3.06,5.14,064,4511
08,19,33,45.957,15,-3.72,-3.31,-2.76,1.22,061,3120
08,19,34,37.413,8,2.81,2.94,3.00,17.81,066,4162
08,19,34,38.016,18,-5.78,-6.40,-5.78,7.66,066,4243
08,19,36,16.542,19,-5.03,-5.72,-5.79,3.31,065,4210
08,19,38,49.474,8,-15.19,-8.62,-5.34,21.43,066,2965
08,19,38,50.743,18,6.08,6.10,5.83,6.61,072,4151
08,19,39,51.012,25,2.75,2.53,2.37,8.09,085,7161
08,19,40,50.414,17,5.58,6.83,7.07,7.36,065,3886
08,19,41,18.214,13,9.00,8.90,8.40,3.03,069,4245
08,19,46,29.886,14,4.71,5.61,6.12,3.39,079,6355
08,19,47,12.341,30,-4.17,-3.67,-3.00,4.11,074,4901
08,19,48,35.679,20,-2.68,-3.16,-3.29,5.47,064,4573
08,19,48,36.841,12,-4.00,-3.56,-3.00,0.88,062,2970
08,19,49,05.682,17,5.93,8.26,9.47,3.54,067,3833
08,19,49,46.817,21,4.92,5.02,5.57,5.42,070,4993
08,19,50,33.418,8,-13.50,-4.69,-0.28,13.84,066,4398
08,19,50,33.886,25,-4.51,-4.06,-3.49,4.76,064,4473
08,19,53,55.749,14,6.05,6.16,5.75,6.39,067,3470
08,19,53,56.082,10,5.30,4.84,4.40,3.03,068,3303
08,19,54,09.618,12,5.12,6.06,6.62,2.81,074,5713
08,19,54,27.751,11,-0.36,-1.20,-1.82,2.37,099,5367
08,19,54,35.083,8,0.38,1.38,1.88,2.17,072,2416
08,19,54,42.219,24,-1.80,-1.96,-2.06,3.36,064,3658
08,19,54,43.434,20,-2.83,-2.96,-2.97,0.61,062,2688
08,19,56,27.147,18,-4.42,-5.75,-6.64,4.33,066,4212
08,19,57,06.489,12,6.88,6.86,6.62,2.95,068,4755
08,20,00,10.745,28,4.48,4.54,4.75,5.65,080,6043
08,20,00,14.082,18,6.31,7.26,7.28,7.75,069,3719
08,20,04,12.683,17,2.26,2.51,2.46,5.42,065,2563
08,20,04,13.686,15,3.40,2.09,1.16,7.36,068,3512
08,20,04,15.493,9,2.11,2.11,1.22,3.71,089,4906
08,20,04,16.346,8,-0.75,-2.81,-3.84,5.04,099,7568
08,20,04,20.272,8,-3.38,-1.31,-0.28,7.96,080,1895
08,20,07,55.622,9,-12.11,-10.98,-0.89,32.57,072,6393
